State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Madhya Pradesh,74.74,Honda,CBR 650R,214826,2021,298,Electric,83.06,First,2021,Expired,Individual,104142.76,Tier 2
Uttar Pradesh,74.32,KTM,250 Duke,129860,2021,952,Electric,85.83,Third,2022,Not Available,Dealer,94229.64,Tier 2
Punjab,72.3,Royal Enfield,Himalayan,235727,2018,489,Hybrid,73.57,Second,2024,Expired,Dealer,131607.93,Tier 3
Delhi,65.89,Royal Enfield,Meteor 350,62907,2015,904,Petrol,41.67,First,2015,Not Available,Individual,41456.4,Tier 3
West Bengal,61.5,Yamaha,FZ V3,61809,2024,644,Petrol,59.14,First,2024,Expired,Dealer,40886.44,Tier 1
Rajasthan,65.59,Hero,Glamour,242153,2018,119,Electric,75.29,Third,2022,Active,Dealer,168665.55,Tier 3
Uttar Pradesh,22.63,Kawasaki,Versys 650,221728,2022,701,Hybrid,85.89,First,2022,Active,Dealer,133551.81,Tier 2
Madhya Pradesh,66.33,KTM,250 Duke,172002,2016,416,Hybrid,65.86,Second,2022,Expired,Individual,122396.32,Tier 2
Madhya Pradesh,18.37,Royal Enfield,Hunter 350,196488,2016,259,Petrol,39.46,Third,2022,Not Available,Individual,100571.53,Tier 1
Punjab,35.18,Yamaha,Fascino 125,69250,2023,246,Electric,98.17,First,2023,Not Available,Dealer,51135.28,Tier 2
Madhya Pradesh,5.45,Yamaha,Ray ZR,194883,2020,277,Hybrid,67.92,First,2020,Active,Individual,84780.07,Tier 3
Madhya Pradesh,50.23,Royal Enfield,Himalayan,146952,2019,296,Petrol,55.44,Second,2019,Active,Individual,89713.34,Tier 1
Karnataka,74.37,Royal Enfield,Meteor 350,344566,2019,148,Petrol,54.27,Second,2023,Not Available,Dealer,251556.63,Tier 3
Tamil Nadu,39.42,Bajaj,Avenger 220,196286,2022,197,Petrol,39.03,Second,2024,Expired,Individual,81857.85,Metro
Maharashtra,11.05,Kawasaki,Versys 650,318728,2017,890,Hybrid,96.66,Second,2021,Active,Individual,174605.23,Tier 3
Maharashtra,55.67,Royal Enfield,Meteor 350,176397,2021,799,Petrol,47.93,Third,2023,Active,Individual,112703.36,Metro
Punjab,24.56,Honda,Activa,375947,2019,200,Electric,67.21,Second,2024,Active,Individual,270932.56,Tier 3
Delhi,70.21,KTM,390 Adventure,344518,2018,579,Hybrid,64.75,First,2018,Not Available,Dealer,205985.95,Tier 1
Gujarat,36.69,Kawasaki,Vulcan S,160714,2016,165,Petrol,38.94,First,2016,Expired,Individual,119841.0,Tier 3
West Bengal,72.39,Bajaj,Dominar 400,140690,2024,113,Electric,73.22,Third,2024,Not Available,Individual,84032.32,Tier 2
Uttar Pradesh,19.61,Yamaha,Fascino 125,388467,2019,547,Hybrid,64.82,First,2019,Not Available,Dealer,282785.22,Metro
Uttar Pradesh,42.69,Honda,Dio,309056,2017,889,Petrol,31.65,Third,2024,Active,Individual,130293.63,Metro
Karnataka,63.0,Yamaha,FZ V3,300701,2016,595,Electric,75.46,Third,2021,Not Available,Individual,156290.66,Tier 1
West Bengal,33.43,Yamaha,MT-15,82210,2022,510,Electric,86.42,First,2022,Expired,Individual,48329.64,Tier 2
Tamil Nadu,67.92,TVS,Apache RTR 160,367648,2020,445,Hybrid,62.57,First,2020,Expired,Dealer,245849.5,Tier 2
Madhya Pradesh,67.05,Bajaj,Avenger 220,202896,2022,726,Hybrid,68.93,Second,2023,Not Available,Individual,150401.84,Tier 2
Uttar Pradesh,15.27,KTM,125 Duke,85875,2022,435,Hybrid,63.87,Second,2024,Active,Individual,55509.14,Tier 1
Uttar Pradesh,18.86,TVS,Jupiter,297659,2017,230,Hybrid,76.85,First,2017,Expired,Dealer,195609.83,Metro
Tamil Nadu,59.13,Hero,Passion Pro,199404,2023,621,Electric,83.74,First,2023,Active,Dealer,102133.48,Metro
Karnataka,11.93,KTM,250 Duke,205979,2022,121,Electric,82.53,First,2022,Not Available,Individual,163235.75,Tier 3
Gujarat,41.78,KTM,250 Duke,332877,2021,209,Petrol,55.8,First,2021,Expired,Individual,164708.21,Metro
Rajasthan,77.24,Hero,Glamour,200210,2022,254,Electric,70.65,First,2022,Not Available,Individual,133418.39,Tier 3
West Bengal,5.65,Royal Enfield,Himalayan,141917,2021,544,Petrol,27.54,Second,2023,Active,Individual,95056.31,Tier 2
West Bengal,66.76,Hero,Passion Pro,107834,2023,286,Hybrid,65.32,Second,2024,Expired,Individual,74836.11,Tier 3
Karnataka,52.18,Yamaha,Fascino 125,186896,2019,622,Hybrid,62.27,Third,2019,Not Available,Dealer,75438.71,Metro
Rajasthan,29.34,Royal Enfield,Hunter 350,184948,2020,927,Petrol,59.72,Second,2021,Not Available,Individual,106970.79,Metro
Maharashtra,61.35,Honda,Activa,233992,2024,413,Hybrid,86.93,Second,2024,Not Available,Dealer,95464.74,Tier 2
Karnataka,76.27,Yamaha,R15 V4,123280,2019,553,Petrol,54.92,Third,2024,Active,Dealer,59480.88,Metro
Punjab,32.52,TVS,Sport,142587,2019,762,Hybrid,98.72,Third,2022,Not Available,Dealer,105641.34,Tier 2
Delhi,51.55,Bajaj,Platina 110,234640,2015,895,Electric,68.21,Third,2019,Not Available,Individual,106012.03,Tier 2
Delhi,9.4,Yamaha,R15 V4,308721,2017,785,Hybrid,70.99,Third,2017,Active,Dealer,228909.06,Tier 1
Karnataka,44.74,Honda,Activa,177450,2023,241,Electric,68.8,Second,2023,Expired,Dealer,74568.94,Tier 2
Madhya Pradesh,51.67,Honda,Activa,88988,2020,196,Petrol,31.42,Third,2021,Expired,Individual,59399.4,Tier 2
Punjab,13.86,Bajaj,Pulsar 150,359560,2017,605,Hybrid,64.91,Third,2024,Expired,Dealer,254851.67,Tier 1
Madhya Pradesh,39.02,Bajaj,CT 100,232184,2024,681,Hybrid,75.58,Second,2024,Not Available,Dealer,156631.26,Tier 3
Karnataka,36.85,Kawasaki,Z650,71035,2021,698,Hybrid,89.8,Second,2024,Not Available,Individual,41300.95,Tier 1
Gujarat,6.65,TVS,Jupiter,161063,2023,391,Hybrid,86.58,Third,2023,Active,Dealer,97937.67,Metro
Gujarat,19.36,TVS,Apache RTR 160,379357,2020,620,Electric,93.59,Second,2020,Expired,Individual,281382.56,Tier 2
Rajasthan,16.58,Honda,Activa,208553,2022,446,Petrol,35.76,First,2022,Not Available,Dealer,109105.63,Tier 3
Rajasthan,29.9,Kawasaki,Versys 650,140693,2019,996,Hybrid,93.4,Third,2024,Active,Individual,65393.06,Metro
Delhi,36.11,TVS,Sport,322354,2024,125,Petrol,58.2,Third,2024,Expired,Individual,149357.6,Tier 2
Rajasthan,57.87,Bajaj,Dominar 400,228777,2021,707,Hybrid,88.01,First,2021,Not Available,Individual,166954.64,Metro
Uttar Pradesh,39.94,Honda,CBR 650R,155664,2023,203,Electric,96.64,First,2023,Active,Dealer,108228.35,Tier 1
Uttar Pradesh,71.89,Honda,Shine,176242,2017,972,Hybrid,63.98,First,2017,Not Available,Dealer,107958.16,Tier 1
Tamil Nadu,7.89,Honda,Activa,382223,2020,984,Hybrid,62.03,Third,2023,Expired,Dealer,179213.78,Tier 1
Madhya Pradesh,15.91,Royal Enfield,Classic 350,103326,2021,921,Petrol,30.19,Second,2022,Expired,Individual,60426.45,Tier 2
Rajasthan,41.73,Yamaha,Fascino 125,370269,2017,726,Petrol,39.25,Second,2022,Not Available,Individual,206154.54,Tier 2
Delhi,57.22,KTM,RC 390,51175,2016,432,Petrol,54.09,Second,2022,Not Available,Dealer,32631.5,Metro
Delhi,68.46,Bajaj,Dominar 400,190374,2016,458,Petrol,40.87,Second,2020,Not Available,Individual,79728.96,Tier 2
West Bengal,45.97,Honda,Shine,262481,2024,168,Hybrid,74.23,First,2024,Not Available,Dealer,162268.6,Metro
Maharashtra,35.74,Bajaj,Platina 110,76380,2024,123,Hybrid,61.96,Third,2024,Active,Dealer,36908.29,Tier 1
Maharashtra,40.71,Honda,CBR 650R,72345,2016,178,Electric,86.55,Third,2018,Not Available,Dealer,48885.96,Tier 3
Rajasthan,34.17,KTM,125 Duke,58115,2017,718,Electric,83.19,Third,2022,Not Available,Dealer,35095.69,Tier 1
Gujarat,19.17,TVS,Ronin,234842,2022,139,Petrol,33.47,First,2022,Not Available,Dealer,140011.72,Tier 3
Uttar Pradesh,64.65,Kawasaki,Vulcan S,307923,2022,958,Hybrid,62.66,First,2022,Not Available,Individual,213706.46,Tier 1
Delhi,28.3,Yamaha,Ray ZR,176957,2024,878,Electric,76.85,First,2024,Active,Dealer,140616.72,Metro
Maharashtra,61.27,Honda,Dio,79578,2024,846,Petrol,48.72,First,2024,Expired,Individual,56690.73,Tier 1
Punjab,43.16,Bajaj,Avenger 220,317109,2024,894,Hybrid,97.69,Second,2024,Not Available,Individual,235214.16,Tier 1
Madhya Pradesh,34.46,Yamaha,Ray ZR,61653,2018,343,Hybrid,66.75,Third,2021,Expired,Dealer,38703.0,Metro
Gujarat,6.68,Honda,Shine,168279,2019,702,Hybrid,80.13,Second,2020,Not Available,Individual,129146.67,Metro
Punjab,77.04,Hero,Passion Pro,265716,2021,438,Electric,96.32,Second,2023,Not Available,Dealer,152776.0,Tier 3
Gujarat,69.34,KTM,250 Duke,333361,2024,575,Petrol,38.69,Second,2024,Not Available,Individual,178756.01,Metro
Madhya Pradesh,45.11,Yamaha,FZ V3,170625,2019,771,Hybrid,77.16,Third,2023,Not Available,Dealer,134770.85,Tier 3
Karnataka,34.22,Kawasaki,Vulcan S,159997,2020,211,Petrol,26.66,First,2020,Expired,Individual,114169.36,Tier 3
Madhya Pradesh,24.9,Bajaj,Pulsar 150,263883,2022,691,Petrol,37.96,Second,2024,Not Available,Dealer,178253.65,Metro
Rajasthan,23.7,Yamaha,MT-15,54492,2016,763,Electric,75.65,First,2016,Active,Dealer,43441.77,Tier 1
West Bengal,74.27,Hero,HF Deluxe,211157,2020,814,Hybrid,64.73,First,2020,Not Available,Individual,99315.8,Metro
Madhya Pradesh,58.75,Royal Enfield,Classic 350,50187,2022,916,Hybrid,91.97,Second,2024,Expired,Individual,30535.86,Tier 1
Uttar Pradesh,78.87,KTM,125 Duke,137501,2017,648,Petrol,57.7,Second,2019,Active,Dealer,56611.45,Tier 3
Rajasthan,65.21,Kawasaki,Ninja 300,260354,2019,981,Electric,79.37,Second,2022,Active,Individual,125970.45,Tier 3
Maharashtra,23.25,Kawasaki,Versys 650,180921,2017,572,Petrol,33.76,Third,2017,Expired,Dealer,117466.24,Tier 3
Uttar Pradesh,79.48,TVS,NTorq 125,353654,2022,945,Hybrid,77.25,First,2022,Expired,Individual,275124.3,Metro
Madhya Pradesh,46.08,Honda,Shine,362871,2018,965,Electric,66.03,First,2018,Not Available,Dealer,231631.43,Tier 2
Madhya Pradesh,66.08,KTM,390 Adventure,363317,2016,176,Hybrid,66.66,Second,2023,Not Available,Dealer,219643.89,Tier 3
Madhya Pradesh,29.2,Bajaj,Dominar 400,214695,2022,400,Hybrid,65.63,First,2022,Expired,Dealer,164539.91,Tier 2
West Bengal,55.51,Honda,Unicorn,199317,2016,522,Electric,71.55,First,2016,Expired,Individual,108599.38,Tier 1
Tamil Nadu,17.52,Yamaha,MT-15,101413,2016,420,Electric,86.93,Second,2019,Expired,Individual,66397.93,Metro
Tamil Nadu,27.72,Kawasaki,Ninja 400,298754,2018,415,Electric,70.62,First,2018,Active,Dealer,128290.47,Tier 2
West Bengal,67.88,Kawasaki,Ninja 300,185339,2020,741,Petrol,55.3,First,2020,Active,Dealer,125990.46,Tier 3
Delhi,67.15,Royal Enfield,Meteor 350,58172,2020,882,Electric,73.72,First,2020,Not Available,Individual,36261.51,Metro
Maharashtra,8.26,Kawasaki,Z650,275694,2023,788,Electric,78.52,First,2023,Not Available,Individual,147449.5,Tier 3
West Bengal,30.29,Honda,Dio,124469,2021,468,Electric,94.5,Third,2022,Not Available,Dealer,74726.87,Metro
West Bengal,43.65,TVS,Ronin,256609,2024,733,Electric,60.4,First,2024,Not Available,Dealer,120648.01,Metro
Gujarat,41.22,Bajaj,Platina 110,348988,2019,199,Electric,79.88,First,2019,Active,Individual,209829.06,Metro
West Bengal,20.59,KTM,Duke 200,291700,2017,950,Electric,64.54,First,2017,Not Available,Individual,209068.67,Tier 2
Madhya Pradesh,79.0,TVS,Sport,182642,2018,171,Electric,63.46,First,2018,Not Available,Individual,103583.65,Tier 2
Rajasthan,48.12,Royal Enfield,Meteor 350,106187,2020,646,Electric,93.78,Third,2020,Expired,Dealer,48053.3,Tier 3
Gujarat,23.05,TVS,Jupiter,170015,2023,136,Petrol,28.36,Third,2023,Expired,Dealer,119849.58,Metro
Tamil Nadu,50.9,TVS,NTorq 125,101404,2017,268,Electric,60.71,Third,2017,Active,Individual,44024.67,Tier 3
Madhya Pradesh,9.27,Honda,Dio,65502,2015,946,Electric,78.99,Third,2017,Not Available,Dealer,35207.64,Tier 3
Maharashtra,45.38,Kawasaki,Ninja 400,110272,2019,157,Hybrid,63.77,Second,2020,Expired,Individual,81948.02,Tier 3
Madhya Pradesh,16.26,TVS,Sport,233807,2021,540,Hybrid,69.47,First,2021,Expired,Individual,185381.37,Tier 2
Gujarat,66.49,Yamaha,Fascino 125,387487,2015,901,Hybrid,71.43,Third,2023,Not Available,Individual,275274.81,Tier 3
West Bengal,8.65,Honda,Dio,218700,2020,572,Electric,61.77,First,2020,Active,Dealer,170747.65,Tier 1
Rajasthan,32.04,KTM,125 Duke,312759,2017,553,Hybrid,90.64,Second,2023,Expired,Individual,172423.69,Tier 1
Gujarat,63.06,KTM,390 Adventure,341557,2015,374,Petrol,33.44,First,2015,Expired,Dealer,211336.34,Tier 3
Tamil Nadu,23.59,Hero,Glamour,392015,2017,590,Electric,81.3,Second,2021,Not Available,Individual,303709.03,Metro
Rajasthan,50.81,Royal Enfield,Meteor 350,341531,2017,699,Petrol,55.05,Second,2021,Active,Individual,210575.19,Tier 1
West Bengal,7.77,Bajaj,Avenger 220,88220,2020,745,Electric,74.79,Third,2023,Not Available,Dealer,62788.34,Metro
Gujarat,43.74,Kawasaki,Z650,369156,2023,774,Electric,77.67,First,2023,Expired,Individual,253886.62,Tier 1
Delhi,53.47,Bajaj,Dominar 400,325460,2019,713,Hybrid,67.13,Second,2020,Not Available,Individual,168144.51,Tier 3
Maharashtra,35.55,Bajaj,Pulsar 150,167460,2022,604,Hybrid,93.93,First,2022,Expired,Individual,121901.48,Metro
Karnataka,13.06,KTM,Duke 200,145232,2018,402,Petrol,49.33,First,2018,Active,Dealer,98571.37,Tier 2
Punjab,26.52,Royal Enfield,Hunter 350,305342,2018,790,Electric,69.19,Second,2024,Active,Individual,131973.61,Tier 1
Uttar Pradesh,64.83,Honda,Unicorn,202495,2016,960,Petrol,40.31,Third,2024,Expired,Dealer,113488.91,Tier 3
Delhi,56.24,TVS,Ronin,107614,2019,337,Hybrid,88.65,First,2019,Active,Individual,74285.02,Metro
Delhi,66.33,Yamaha,FZ V3,254936,2021,170,Petrol,58.5,First,2021,Expired,Individual,161478.07,Tier 3
Punjab,79.56,Kawasaki,Vulcan S,307589,2024,728,Petrol,32.44,Second,2024,Expired,Individual,181269.68,Tier 3
Madhya Pradesh,48.57,Kawasaki,Ninja 300,112786,2017,574,Electric,97.32,Second,2021,Not Available,Individual,49650.53,Tier 3
Maharashtra,5.8,Honda,Activa,279718,2015,786,Petrol,44.46,Second,2017,Not Available,Individual,181361.65,Tier 1
Rajasthan,70.06,Kawasaki,Ninja 300,291372,2018,175,Electric,90.95,First,2018,Expired,Dealer,148545.86,Tier 3
Gujarat,19.42,KTM,250 Duke,306571,2024,452,Hybrid,67.79,Third,2024,Not Available,Individual,212919.77,Tier 1
Rajasthan,41.34,KTM,Duke 200,132658,2016,203,Electric,75.2,First,2016,Not Available,Individual,84045.91,Tier 1
Maharashtra,73.56,KTM,125 Duke,306029,2023,861,Hybrid,62.63,Third,2023,Active,Dealer,166968.39,Tier 2
Maharashtra,33.67,Honda,CBR 650R,142682,2017,256,Electric,65.27,First,2017,Active,Individual,77207.18,Tier 2
Tamil Nadu,23.04,Yamaha,MT-15,92829,2017,200,Electric,99.77,Second,2021,Active,Individual,42934.94,Tier 3
Rajasthan,46.78,KTM,390 Adventure,316509,2019,233,Petrol,33.45,Second,2021,Expired,Individual,203958.7,Tier 1
West Bengal,20.22,KTM,390 Adventure,165570,2017,853,Petrol,45.25,Third,2017,Not Available,Dealer,118007.64,Tier 1
West Bengal,65.7,Royal Enfield,Hunter 350,279507,2020,367,Hybrid,97.54,First,2020,Expired,Dealer,176495.37,Tier 2
Rajasthan,71.35,Hero,Passion Pro,199943,2017,592,Hybrid,75.14,Second,2023,Expired,Dealer,125082.88,Metro
Delhi,61.55,Honda,Shine,375703,2024,607,Electric,81.25,Third,2024,Expired,Dealer,198704.47,Tier 1
Rajasthan,23.12,Yamaha,FZ V3,59215,2018,534,Petrol,30.88,Third,2023,Active,Dealer,44320.06,Metro
Madhya Pradesh,46.43,Bajaj,Dominar 400,307627,2018,672,Hybrid,94.74,Second,2018,Active,Individual,236547.09,Tier 1
Uttar Pradesh,6.39,Royal Enfield,Hunter 350,163307,2016,922,Petrol,56.48,First,2016,Not Available,Individual,101996.69,Tier 1
West Bengal,62.82,Hero,HF Deluxe,279095,2020,636,Petrol,37.71,Third,2020,Expired,Individual,143817.39,Tier 3
Punjab,79.01,Yamaha,R15 V4,85485,2016,168,Hybrid,83.84,First,2016,Expired,Individual,64557.14,Tier 3
Uttar Pradesh,30.99,KTM,250 Duke,156752,2017,430,Hybrid,86.15,First,2017,Not Available,Dealer,66337.66,Tier 1
Uttar Pradesh,27.72,Honda,Unicorn,191343,2023,350,Electric,88.44,First,2023,Active,Dealer,131732.64,Tier 1
Tamil Nadu,23.05,Kawasaki,Ninja 300,313332,2022,630,Hybrid,87.78,Third,2022,Not Available,Dealer,213977.88,Tier 1
West Bengal,31.63,Bajaj,Platina 110,225365,2015,879,Hybrid,89.21,First,2015,Expired,Dealer,106039.05,Metro
Delhi,11.94,Kawasaki,Z650,275199,2019,350,Hybrid,82.78,Third,2023,Expired,Individual,154888.66,Tier 3
Punjab,18.76,TVS,Apache RTR 160,268969,2022,528,Petrol,46.32,Second,2022,Expired,Individual,170249.43,Tier 3
Punjab,31.62,Hero,Passion Pro,285446,2023,886,Electric,70.66,Second,2023,Not Available,Dealer,150205.35,Metro
Uttar Pradesh,27.77,TVS,Sport,135077,2022,195,Petrol,53.72,First,2022,Expired,Dealer,77300.14,Metro
Uttar Pradesh,78.73,Honda,Dio,86810,2024,234,Hybrid,72.75,First,2024,Not Available,Individual,46318.83,Tier 3
Delhi,36.1,Royal Enfield,Interceptor 650,364894,2016,804,Petrol,33.01,First,2016,Expired,Individual,158600.63,Metro
Madhya Pradesh,38.33,Bajaj,Avenger 220,309871,2019,700,Petrol,34.67,Second,2021,Expired,Individual,223324.22,Tier 2
Maharashtra,45.07,TVS,NTorq 125,176346,2019,410,Hybrid,68.02,Second,2023,Not Available,Individual,75460.35,Tier 2
Punjab,38.6,Honda,Activa,253988,2018,205,Hybrid,71.57,Third,2024,Active,Individual,172006.15,Tier 1
Delhi,10.91,TVS,Jupiter,67909,2019,637,Electric,61.97,First,2019,Expired,Individual,52920.3,Tier 3
Karnataka,69.13,Royal Enfield,Meteor 350,176193,2016,570,Petrol,39.72,Second,2016,Expired,Dealer,94215.23,Tier 2
Rajasthan,33.89,TVS,Ronin,118604,2024,218,Electric,97.41,First,2024,Not Available,Dealer,87647.33,Tier 1
Madhya Pradesh,40.42,Honda,Unicorn,334696,2023,870,Electric,94.55,First,2023,Expired,Dealer,185571.8,Metro
Madhya Pradesh,36.74,TVS,Apache RTR 160,220358,2024,768,Petrol,32.96,First,2024,Not Available,Individual,164081.94,Tier 3
West Bengal,64.39,Honda,Shine,152676,2022,950,Hybrid,68.36,Third,2022,Expired,Individual,104479.19,Metro
Maharashtra,60.96,KTM,125 Duke,188535,2022,457,Electric,68.53,Third,2022,Not Available,Dealer,97096.64,Tier 2
Gujarat,69.89,Yamaha,Fascino 125,289529,2020,475,Petrol,41.07,Second,2022,Active,Individual,219773.32,Tier 2
West Bengal,26.22,TVS,Sport,124854,2023,237,Hybrid,60.94,Third,2024,Expired,Dealer,89912.84,Tier 3
Madhya Pradesh,12.71,Honda,Dio,147997,2017,655,Petrol,37.71,First,2017,Active,Dealer,61801.74,Metro
Rajasthan,49.57,Royal Enfield,Meteor 350,287647,2020,757,Hybrid,67.54,Second,2022,Not Available,Individual,189976.3,Metro
West Bengal,34.25,Hero,Passion Pro,195637,2017,510,Petrol,34.07,Second,2024,Active,Dealer,140292.73,Tier 3
Gujarat,52.53,KTM,Duke 200,266871,2024,176,Hybrid,75.76,Second,2024,Expired,Individual,155859.54,Tier 1
Maharashtra,49.88,Royal Enfield,Hunter 350,78822,2018,696,Petrol,39.02,Third,2021,Expired,Individual,54578.92,Tier 2
Punjab,77.59,TVS,Sport,105774,2023,125,Electric,86.52,Third,2023,Not Available,Individual,45227.46,Tier 1
Punjab,79.96,Honda,CBR 650R,325892,2016,949,Electric,84.82,First,2016,Not Available,Individual,232294.52,Metro
Maharashtra,75.08,KTM,125 Duke,353022,2016,611,Petrol,44.87,Second,2019,Not Available,Individual,200173.94,Tier 2
Punjab,9.43,Hero,Glamour,367274,2022,126,Electric,65.79,First,2022,Active,Individual,158926.81,Metro
Rajasthan,31.56,Royal Enfield,Meteor 350,72922,2022,986,Petrol,25.47,Third,2023,Active,Individual,54089.91,Tier 1
Punjab,66.49,Yamaha,Fascino 125,123013,2024,785,Electric,73.99,First,2024,Expired,Dealer,66031.47,Tier 3
Uttar Pradesh,30.0,Yamaha,MT-15,240851,2015,276,Electric,78.59,Third,2017,Active,Individual,173564.05,Tier 3
Maharashtra,79.52,TVS,Apache RTR 160,304346,2016,908,Hybrid,75.53,Third,2021,Expired,Dealer,127786.19,Metro
Punjab,48.92,TVS,Ronin,124197,2017,520,Electric,64.32,Second,2017,Not Available,Individual,61749.36,Tier 2
Maharashtra,51.53,Bajaj,Dominar 400,381553,2017,928,Petrol,45.0,First,2017,Not Available,Dealer,268984.66,Tier 2
Gujarat,26.42,Kawasaki,Versys 650,389105,2021,554,Electric,81.16,Second,2023,Expired,Individual,215292.95,Tier 1
Delhi,6.88,Yamaha,FZ V3,341294,2023,826,Hybrid,74.33,Third,2024,Expired,Dealer,192021.62,Tier 2
West Bengal,78.74,Kawasaki,Ninja 300,69473,2021,167,Hybrid,76.05,First,2021,Active,Dealer,52102.85,Metro
Karnataka,78.3,Royal Enfield,Meteor 350,238208,2024,725,Electric,63.72,Second,2024,Not Available,Dealer,147401.27,Tier 1
West Bengal,38.07,Bajaj,Platina 110,206056,2017,393,Petrol,43.69,Second,2019,Not Available,Dealer,153829.17,Metro
Delhi,69.17,Yamaha,Ray ZR,237699,2020,400,Petrol,44.73,Second,2024,Active,Dealer,167101.95,Metro
Maharashtra,62.87,TVS,Sport,186666,2016,252,Petrol,45.9,Second,2023,Expired,Individual,106036.69,Metro
West Bengal,45.08,Bajaj,CT 100,234902,2017,800,Hybrid,86.5,First,2017,Expired,Dealer,98495.37,Metro
Uttar Pradesh,22.43,Royal Enfield,Meteor 350,62623,2020,195,Petrol,45.34,Second,2022,Expired,Dealer,40859.16,Tier 3
Punjab,74.36,KTM,Duke 200,185436,2018,259,Hybrid,68.84,Third,2020,Active,Individual,112237.07,Tier 1
Tamil Nadu,65.59,TVS,Apache RTR 160,258152,2023,973,Hybrid,62.61,Second,2023,Expired,Individual,182265.18,Tier 2
Maharashtra,9.12,Royal Enfield,Meteor 350,278745,2017,614,Electric,61.86,Second,2022,Active,Dealer,134549.41,Tier 2
Punjab,78.82,Yamaha,R15 V4,307457,2022,977,Electric,72.83,First,2022,Expired,Dealer,196857.11,Tier 1
Maharashtra,58.95,Yamaha,R15 V4,67760,2019,522,Petrol,47.3,Third,2022,Not Available,Dealer,53063.69,Metro
Punjab,17.19,Yamaha,R15 V4,324972,2017,669,Hybrid,84.99,First,2017,Active,Individual,194146.67,Metro
Delhi,61.36,TVS,Apache RTR 160,139609,2018,970,Petrol,48.87,Second,2021,Active,Individual,64283.39,Tier 3
Delhi,38.19,Hero,HF Deluxe,192796,2024,630,Petrol,37.41,First,2024,Not Available,Dealer,117611.84,Tier 1
Madhya Pradesh,5.92,Kawasaki,Versys 650,61118,2019,111,Petrol,32.12,Third,2021,Active,Dealer,26896.52,Metro
Rajasthan,45.99,Royal Enfield,Interceptor 650,187100,2016,394,Electric,96.9,Third,2020,Not Available,Individual,134276.29,Tier 2
Madhya Pradesh,73.47,TVS,NTorq 125,335459,2017,474,Hybrid,89.52,First,2017,Expired,Dealer,221498.72,Tier 2
Madhya Pradesh,54.03,Bajaj,CT 100,224266,2023,596,Electric,77.11,Second,2024,Expired,Individual,167899.96,Tier 1
Gujarat,20.43,KTM,125 Duke,79336,2023,529,Petrol,47.06,Second,2024,Expired,Individual,40931.26,Metro
Karnataka,75.61,TVS,Ronin,291701,2020,520,Hybrid,76.25,Third,2021,Expired,Individual,211640.44,Tier 3
Delhi,27.9,Bajaj,Avenger 220,301065,2024,374,Electric,75.32,First,2024,Active,Individual,177318.59,Metro
Madhya Pradesh,57.09,Hero,HF Deluxe,125939,2017,300,Electric,71.84,First,2017,Not Available,Dealer,98518.98,Metro
Maharashtra,46.7,KTM,250 Duke,105167,2020,514,Petrol,30.62,Third,2021,Not Available,Dealer,62744.79,Tier 3
Delhi,75.87,Kawasaki,Z650,328628,2017,904,Hybrid,90.72,Third,2020,Active,Individual,249151.51,Metro
Madhya Pradesh,30.39,Kawasaki,Vulcan S,60733,2023,701,Electric,65.36,Second,2023,Not Available,Dealer,40252.7,Tier 2
West Bengal,43.27,KTM,250 Duke,299235,2023,763,Hybrid,87.1,First,2023,Not Available,Individual,131319.74,Metro
Delhi,11.06,Yamaha,MT-15,323337,2017,150,Petrol,35.89,Second,2021,Not Available,Individual,216565.17,Tier 1
Punjab,46.61,TVS,Sport,99544,2022,739,Hybrid,87.92,First,2022,Not Available,Dealer,40319.3,Tier 2
Maharashtra,70.26,Bajaj,CT 100,214385,2018,718,Petrol,37.99,First,2018,Expired,Individual,101456.98,Tier 3
Gujarat,27.45,Hero,HF Deluxe,192029,2023,719,Petrol,29.69,First,2023,Expired,Individual,110533.97,Tier 3
Punjab,35.4,Bajaj,CT 100,218496,2019,378,Electric,94.64,Third,2019,Not Available,Dealer,122493.55,Metro
Uttar Pradesh,31.25,Royal Enfield,Classic 350,295437,2017,358,Electric,69.87,Second,2017,Active,Dealer,203868.08,Tier 3
West Bengal,32.83,KTM,125 Duke,79417,2019,335,Electric,84.93,Second,2019,Expired,Individual,41209.3,Metro
Madhya Pradesh,65.73,Yamaha,Fascino 125,353934,2018,471,Petrol,37.71,First,2018,Not Available,Dealer,142250.46,Tier 2
Madhya Pradesh,48.36,KTM,390 Adventure,263805,2023,598,Electric,90.59,First,2023,Not Available,Individual,144117.81,Tier 1
Madhya Pradesh,41.98,Royal Enfield,Interceptor 650,137473,2021,923,Hybrid,83.69,First,2021,Expired,Individual,67717.73,Metro
Delhi,76.66,Yamaha,FZ V3,95670,2017,356,Hybrid,83.99,Second,2020,Expired,Dealer,45064.56,Metro
Delhi,39.53,Hero,Xtreme 160R,362178,2015,679,Petrol,55.63,First,2015,Expired,Individual,281584.49,Tier 2
West Bengal,5.15,TVS,Ronin,341537,2018,838,Petrol,52.85,Second,2022,Expired,Individual,214058.57,Tier 2
Madhya Pradesh,34.98,Royal Enfield,Interceptor 650,235142,2017,197,Hybrid,97.41,Second,2017,Not Available,Dealer,154906.6,Metro
